Block Type,96-Well 0.1-mL Block,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Background is expired ,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Background performed on,08-19-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ABY is expired,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ABY performed on,08-19-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye FAM is expired,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye FAM performed on,08-19-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye JUN is expired,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye JUN performed on,08-19-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye NED is expired,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye NED performed on,08-19-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ROX is expired,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ROX performed on,08-19-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye SYBR is expired,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye SYBR performed on,08-19-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye TAMRA is expired,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye TAMRA performed on,08-19-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye VIC is expired,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye VIC performed on,08-19-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,A12,FALSE,S1E6,pisck_sal,STANDARD,VIC,NFQ-MGB,15.930,15.930,,"1,000,000.000","1,000,000.000",,36.753,0.995,-3.496,93.215,TRUE,0.040,TRUE,3,13,Amp,,0.986,N,Y,N,N,N
12,A12,FALSE,S1E6,sch,STANDARD,FAM,NFQ-MGB,16.536,16.536,,"1,000,000.000","1,000,000.000",,36.515,0.998,-3.294,101.187,TRUE,0.072,TRUE,3,13,Amp,,0.977,N,N,N,N,N
13,B1,FALSE,CL2459,env,UNKNOWN,NED,NFQ-MGB,35.897,35.670,0.321,18.279,20.906,3.714,41.115,0.993,-4.135,74.505,TRUE,0.040,TRUE,3,29,No Amp,,0.751,Y,Y,N,N,N
13,B1,FALSE,CL2459,pisck_sal,UNKNOWN,VIC,NFQ-MGB,29.335,28.762,0.708,132.391,208.271,102.683,36.753,0.995,-3.496,93.215,TRUE,0.040,TRUE,3,26,Amp,,0.964,N,Y,N,Y,N
13,B1,FALSE,CL2459,sch,UNKNOWN,FAM,NFQ-MGB,27.090,26.766,0.339,726.884,929.079,221.448,36.515,0.998,-3.294,101.187,TRUE,0.072,TRUE,3,24,Amp,,0.972,N,N,N,N,N
14,B2,FALSE,CL2459,env,UNKNOWN,NED,NFQ-MGB,35.443,35.670,0.321,23.532,20.906,3.714,41.115,0.993,-4.135,74.505,TRUE,0.040,TRUE,3,28,No Amp,,0.707,Y,Y,N,N,N
14,B2,FALSE,CL2459,pisck_sal,UNKNOWN,VIC,NFQ-MGB,28.980,28.762,0.708,167.310,208.271,102.683,36.753,0.995,-3.496,93.215,TRUE,0.040,TRUE,3,26,Amp,,0.961,N,Y,N,Y,N
14,B2,FALSE,CL2459,sch,UNKNOWN,FAM,NFQ-MGB,26.793,26.766,0.339,894.614,929.079,221.448,36.515,0.998,-3.294,101.187,TRUE,0.072,TRUE,3,23,Amp,,0.972,N,N,N,N,N
15,B3,FALSE,CL2459,env,UNKNOWN,NED,NFQ-MGB,Undetermined,35.670,0.321,,,,41.115,0.993,-4.135,74.505,TRUE,0.040,TRUE,3,44,No Amp,,0.000,Y,Y,Y,N,N
15,B3,FALSE,CL2459,pisck_sal,UNKNOWN,VIC,NFQ-MGB,27.971,28.762,0.708,325.113,208.271,102.683,36.753,0.995,-3.496,93.215,TRUE,0.040,TRUE,3,25,Amp,,0.964,N,Y,N,Y,N
