Block Type,96-Well 0.1-mL Block,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,A5,FALSE,CL2037,ctv-2,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,37.831,0.997,-3.407,96.584,TRUE,0.251,TRUE,3,44,No Amp,,0.000,Y,Y,N,N,N,Y,N,N
5,A5,FALSE,CL2037,pa_ther,UNKNOWN,NED,NFQ-MGB,30.345,31.815,1.272,734.221,390.163,297.967,42.328,0.987,-4.181,73.449,TRUE,0.040,TRUE,3,27,Amp,,0.985,N,N,Y,N,Y,N,N,N
6,A6,FALSE,CL2037,ascv,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,39.486,0.999,-3.547,91.380,TRUE,0.178,TRUE,3,44,No Amp,,0.000,Y,Y,N,N,N,N,N,N
6,A6,FALSE,CL2037,ctv-2,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,37.831,0.997,-3.407,96.584,TRUE,0.251,TRUE,3,44,No Amp,,0.000,Y,Y,N,N,N,N,N,N
6,A6,FALSE,CL2037,pa_ther,UNKNOWN,NED,NFQ-MGB,32.562,31.815,1.272,216.629,390.163,297.967,42.328,0.987,-4.181,73.449,TRUE,0.040,TRUE,3,30,Amp,,0.995,N,N,Y,N,Y,N,N,N
7,A7,FALSE,CL2212,ascv,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,39.486,0.999,-3.547,91.380,TRUE,0.178,TRUE,3,44,No Amp,,0.000,Y,Y,N,N,N,Y,N,N
7,A7,FALSE,CL2212,ctv-2,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,37.831,0.997,-3.407,96.584,TRUE,0.251,TRUE,3,44,No Amp,,0.000,Y,Y,N,N,N,Y,N,N
7,A7,FALSE,CL2212,pa_ther,UNKNOWN,NED,NFQ-MGB,37.382,36.158,1.596,15.241,39.259,36.149,42.328,0.987,-4.181,73.449,TRUE,0.040,TRUE,3,34,Amp,,0.956,N,N,Y,N,Y,N,N,N
8,A8,FALSE,CL2212,ascv,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,39.486,0.999,-3.547,91.380,TRUE,0.178,TRUE,3,44,No Amp,,0.000,Y,Y,N,N,N,Y,N,N
8,A8,FALSE,CL2212,ctv-2,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,37.831,0.997,-3.407,96.584,TRUE,0.251,TRUE,3,44,No Amp,,0.000,Y,Y,N,N,N,Y,N,N
8,A8,FALSE,CL2212,pa_ther,UNKNOWN,NED,NFQ-MGB,34.352,36.158,1.596,80.833,39.259,36.149,42.328,0.987,-4.181,73.449,TRUE,0.040,TRUE,3,30,Amp,,0.960,N,N,Y,N,Y,N,N,N
9,A9,FALSE,CL2212,ascv,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,39.486,0.999,-3.547,91.380,TRUE,0.178,TRUE,3,44,No Amp,,0.000,Y,Y,N,N,N,Y,N,N
9,A9,FALSE,CL2212,ctv-2,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,37.831,0.997,-3.407,96.584,TRUE,0.251,TRUE,3,44,No Amp,,0.000,Y,Y,N,N,N,Y,N,N
9,A9,FALSE,CL2212,pa_ther,UNKNOWN,NED,NFQ-MGB,36.740,36.158,1.596,21.703,39.259,36.149,42.328,0.987,-4.181,73.449,TRUE,0.040,TRUE,3,33,Amp,,0.895,N,N,Y,N,Y,N,N,N
10,A10,FALSE,EB0108,ascv,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,39.486,0.999,-3.547,91.380,TRUE,0.178,TRUE,3,44,No Amp,,0.000,Y,Y,N,N,N,Y,N,N
10,A10,FALSE,EB0108,ctv-2,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,37.831,0.997,-3.407,96.584,TRUE,0.251,TRUE,3,44,No Amp,,0.000,Y,Y,N,N,N,Y,N,N
10,A10,FALSE,EB0108,pa_ther,UNKNOWN,NED,NFQ-MGB,Undetermined,,,,,,42.328,0.987,-4.181,73.449,TRUE,0.040,TRUE,3,44,No Amp,,0.000,Y,Y,Y,N,N,Y,N,N
11,A11,FALSE,EB0108,ascv,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,39.486,0.999,-3.547,91.380,TRUE,0.178,TRUE,3,44,No Amp,,0.000,Y,Y,N,N,N,Y,N,N
11,A11,FALSE,EB0108,ctv-2,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,37.831,0.997,-3.407,96.584,TRUE,0.251,TRUE,3,44,No Amp,,0.000,Y,Y,N,N,N,Y,N,N
11,A11,FALSE,EB0108,pa_ther,UNKNOWN,NED,NFQ-MGB,Undetermined,,,,,,42.328,0.987,-4.181,73.449,TRUE,0.040,TRUE,3,44,No Amp,,0.000,Y,Y,Y,N,N,Y,N,N
12,A12,FALSE,1E6,ascv,STANDARD,VIC,NFQ-MGB,18.171,18.171,,"1,000,000.000","1,000,000.000",,39.486,0.999,-3.547,91.380,TRUE,0.178,TRUE,3,14,Amp,,0.971,N,N,N,N,N,N,N,N
12,A12,FALSE,1E6,ctv-2,STANDARD,FAM,NFQ-MGB,17.164,17.164,,"1,000,000.000","1,000,000.000",,37.831,0.997,-3.407,96.584,TRUE,0.251,TRUE,3,12,Amp,,0.976,N,N,N,N,N,N,N,N
12,A12,FALSE,1E6,pa_ther,STANDARD,NED,NFQ-MGB,17.803,17.803,,"1,000,000.000","1,000,000.000",,42.328,0.987,-4.181,73.449,TRUE,0.040,TRUE,3,15,Amp,,0.997,N,N,Y,N,N,N,N,N
13,B1,FALSE,CL2459,ascv,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,39.486,0.999,-3.547,91.380,TRUE,0.178,TRUE,3,44,No Amp,,0.000,Y,Y,N,N,N,Y,N,N
13,B1,FALSE,CL2459,ctv-2,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,37.831,0.997,-3.407,96.584,TRUE,0.251,TRUE,3,44,No Amp,,0.000,Y,Y,N,N,N,Y,N,N
13,B1,FALSE,CL2459,pa_ther,UNKNOWN,NED,NFQ-MGB,30.774,32.610,1.631,579.988,279.872,261.166,42.328,0.987,-4.181,73.449,TRUE,0.040,TRUE,3,28,Amp,,0.979,N,N,Y,N,Y,N,N,N
14,B2,FALSE,CL2459,ascv,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,39.486,0.999,-3.547,91.380,TRUE,0.178,TRUE,3,44,No Amp,,0.000,Y,Y,N,N,N,Y,N,N
14,B2,FALSE,CL2459,ctv-2,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,37.831,0.997,-3.407,96.584,TRUE,0.251,TRUE,3,44,No Amp,,0.000,Y,Y,N,N,N,Y,N,N
14,B2,FALSE,CL2459,pa_ther,UNKNOWN,NED,NFQ-MGB,33.891,32.610,1.631,104.214,279.872,261.166,42.328,0.987,-4.181,73.449,TRUE,0.040,TRUE,3,31,Amp,,0.996,N,N,Y,N,Y,N,N,N
15,B3,FALSE,CL2459,ascv,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,39.486,0.999,-3.547,91.380,TRUE,0.178,TRUE,3,44,No Amp,,0.000,Y,Y,N,N,N,Y,N,N
15,B3,FALSE,CL2459,ctv-2,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,37.831,0.997,-3.407,96.584,TRUE,0.251,TRUE,3,44,No Amp,,0.000,Y,Y,N,N,N,Y,N,N
15,B3,FALSE,CL2459,pa_ther,UNKNOWN,NED,NFQ-MGB,33.165,32.610,1.631,155.414,279.872,261.166,42.328,0.987,-4.181,73.449,TRUE,0.040,TRUE,3,30,Amp,,0.993,N,N,Y,N,Y,N,N,N
16,B4,FALSE,KN1043,ascv,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,39.486,0.999,-3.547,91.380,TRUE,0.178,TRUE,3,44,No Amp,,0.000,Y,Y,N,N,N,Y,N,N
16,B4,FALSE,KN1043,ctv-2,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,37.831,0.997,-3.407,96.584,TRUE,0.251,TRUE,3,44,No Amp,,0.000,Y,Y,N,N,N,Y,N,N
16,B4,FALSE,KN1043,pa_ther,UNKNOWN,NED,NFQ-MGB,35.886,36.149,0.371,34.726,30.365,6.168,42.328,0.987,-4.181,73.449,TRUE,0.040,TRUE,3,33,Amp,,0.994,N,N,Y,N,N,N,N,N
17,B5,FALSE,KN1043,ascv,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,39.486,0.999,-3.547,91.380,TRUE,0.178,TRUE,3,44,No Amp,,0.000,Y,Y,N,N,N,Y,N,N
17,B5,FALSE,KN1043,ctv-2,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,37.831,0.997,-3.407,96.584,TRUE,0.251,TRUE,3,44,No Amp,,0.000,Y,Y,N,N,N,Y,N,N
